Word,Emotion,Figurative,Physical,Emotion_sticky,Figurative_sticky,Physical_sticky
Harry,,,1,,,
had,,,,,,
never,,,,,,
believed,1,,,,,
he,,,,,,
would,,,,,,
meet,,,,,,
a,,,,,,
boy,,,1,,,
he,,,,,,
hated,1,,,,,
more,,,,,,
than,,,,,,
"Dudley,",,,1,,,
but,,,,,,
that,,,,,,
was,,,,,,
before,,,,,,
he,,,,,,
met,,,,,,
Draco,,,1,,,
Malfoy.,,,1,,,
"Still,",,,,,,
first-year,,,,,,
Gryffindors,,,,,,
only,,,,,,
had,,,,,,
Potions,,,1,,,
with,,,,,,
the,,,,,,
"Slytherins,",,,,,,
so,,,,,,
they,,,,,,
didn't,,,,,,
have,,,,,,
to,,,,,,
put,,1,,,,
up,,1,,,,
with,,1,,,,
Malfoy,,,1,,,
much.,,,,,,
Or,,,,,,
at,,,,,,
"least,",,,,,,
they,,,,,,
didn't,,,,,,
until,,,,,,
they,,,,,,
spotted,,,,,,
a,,,,,,
notice,,,1,,,
pinned,,,,,,
up,,,,,,
in,,,,,,
the,,,,,,
Gryffindor,,,,,,
common,,,1,,,
room,,,1,,,
that,,,,,,
made,,,,,,
them,,,,,,
all,,,,,,
groan.,1,,,,,
Flying,,,,,,
lessons,,,,,,
would,,,,,,
be,,,,,,
starting,,,,,,
on,,,,,,
Thursday,,,,,,
--,,,,,,
and,,,,,,
Gryffindor,,,,,,
and,,,,,,
Slytherin,,,,,,
would,,,,,,
be,,,,,,
learning,,,,,,
together.,,,,,,
,,,,,,
"""Typical,""",,,,,,
said,,,,,,
Harry,,,1,,,
darkly.,1,1,,,,
"""Just",,,,,,
what,,,,,,
I,,,,,,
always,,,,,,
wanted.,,,,,,
To,,,,,,
make,1,,,,,
a,1,,,,,
fool,1,,,,,
of,,,,,,
myself,,,,,,
on,,,,,,
a,,,,,,
broomstick,,,1,,,
in,,,,,,
front,,,,,,
of,,,,,,
"Malfoy.""",,,,,,
,,,,,,
He,,,,,,
had,,,,,,
been,,,,,,
looking,1,1,,,,
forward,1,1,,,,
to,,,,,,
learning,,,,,,
to,,,,,,
fly,,,,,,
more,,,,,,
than,,,,,,
anything,,,,,,
else.,,,,,,
"""You",,,,,,
don't,,,,,,
know,,,,,,
that,,,,,,
you'll,,,,,,
make,,,,,,
a,,,,,,
fool,1,,,,,
of,1,,,,,
"yourself,""",1,,,,,
said,,,,,,
Ron,,,1,,,
reasonably.,1,,,,,
"""Anyway,",,,,,,
I,,,,,,
know,,,,,,
Malfoy's,,,1,,,
always,,,,,,
going,,,,,,
on,,,,,,
about,,,,,,
how,,,,,,
good,,,,,,
he,,,,,,
is,,,,,,
at,,,,,,
"Quidditch,",,,,,,
but,,,,,,
I,,,,,,
bet,,,,,,
that's,,,,,,
all,,,,,,
"talk.""",,,,,,
,,,,,,
Malfoy,,,1,,,
certainly,,,,,,
did,,,,,,
talk,,,,,,
about,,,,,,
flying,,,,,,
a,,,,,,
lot.,,,,,,
He,,,,,,
complained,1,,,,,
loudly,,,,,,
about,,,,,,
first,,,,,,
years,,,,,,
never,,,,,,
getting,,,,,,
on,,,,,,
the,,,,,,
House,,,,,,
Quidditch,,,,,,
teams,,,,,,
and,,,,,,
told,,,,,,
"long,",,,,,,
boastful,1,,,,,
stories,,,,,,
that,,,,,,
always,,,,,,
seemed,,,,,,
to,,,,,,
end,,,,,,
with,,,,,,
him,,,,,,
narrowly,,1,,,,
escaping,,,,,,
Muggles,,,1,,,
in,,,,,,
helicopters.,,,1,,,
He,,,,,,
wasn't,,,,,,
the,,,,,,
only,,,,,,
"one,",,,,,,
though:,,,,,,
the,,,,,,
way,,,,,,
Seamus,,,1,,,
Finnigan,,,1,,,
told,,,,,,
"it,",,,,,,
he'd,,,,,,
spent,,,,,,
most,,,,,,
of,,,,,,
his,,,,,,
childhood,,,,,,
zooming,,,,,,
around,,,,,,
the,,,,,,
countryside,,,1,,,
on,,,,,,
his,,,,,,
broomstick.,,,1,,,
Even,,,,,,
Ron,,,1,,,
would,,,,,,
tell,,,,,,
anyone,,,,,,
who'd,,,,,,
listen,,,,,,
about,,,,,,
the,,,,,,
time,,,,,,
he'd,,,,,,
almost,,,,,,
hit,,,,,,
a,,,,,,
hang,,,1,,,
glider,,,1,,,
on,,,,,,
Charlie's,,,,,,
old,,,,,,
broom.,,,1,,,
Everyone,,,,,,
from,,,,,,
wizarding,,,,,,
families,,,,,,
talked,,,,,,
about,,,,,,
Quidditch,,,,,,
constantly.,,,,,,
Ron,,,1,,,
had,,,,,,
already,,,,,,
had,,,,,,
a,,,,,,
big,,,,,,
argument,1,,,,,
with,,,,,,
Dean,,,1,,,
"Thomas,",,,1,,,
who,,,,,,
shared,,,,,,
their,,,,,,
"dormitory,",,,1,,,
about,,,,,,
soccer.,,,,,,
Ron,,,,,,
couldn't,,,,,,
see,,,,,,
what,,,,,,
was,,,,,,
exciting,1,,,,,
about,,,,,,
a,,,,,,
game,,,,,,
with,,,,,,
only,,,,,,
one,,,,,,
ball,,,1,,,
where,,,,,,
no,,,,,,
one,,,,,,
was,,,,,,
allowed,,,,,,
to,,,,,,
fly.,,,,,,
Harry,,,1,,,
had,,,,,,
caught,,1,,,,
Ron,,,1,,,
prodding,,1,,,,
Dean's,,,1,,,
poster,,,,,,
of,,,,,,
West,,,,,,
Ham,,,,,,
soccer,,,,,,
"team,",,,,,,
trying,,,,,,
to,,,,,,
make,,,,,,
the,,,,,,
players,,,1,,,
move.,,,,,,
,,,,,,
Neville,,,1,,,
had,,,,,,
never,,,,,,
been,,,,,,
on,,,,,,
a,,,,,,
broomstick,,,1,,,
in,,,,,,
his,,,,,,
"life,",,,,,,
because,,,,,,
his,,,,,,
grandmother,,,1,,,
had,,,,,,
never,,,,,,
let,,,,,,
him,,,,,,
near,,,,,,
one.,,,,,,
"Privately,",,,,,,
Harry,,,1,,,
felt,,,,,,
she'd,,,,,,
had,,,,,,
good,,,,,,
"reason,",,,,,,
because,,,,,,
Neville,,,1,,,
managed,,,,,,
to,,,,,,
have,,,,,,
an,,,,,,
extraordinary,,,,,,
number,,,,,,
of,,,,,,
accidents,,,,,,
even,,,,,,
with,,,,,,
both,,,,,,
feet,,,,,,
on,,,,,,
the,,,,,,
ground.,,,1,,,
,,,,,,
Hermione,,,1,,,
Granger,,,1,,,
was,,,,,,
almost,,,,,,
as,,,,,,
nervous,1,,,,,
about,,,,,,
flying,,,,,,
as,,,,,,
Neville,,,1,,,
was.,,,,,,
This,,,,,,
was,,,,,,
something,,,,,,
you,,,,,,
couldn't,,,,,,
learn,,,,,,
by,,1,,,,
heart,,1,,,,
out,,,,,,
of,,,,,,
a,,,,,,
book,,,1,,,
--,,,,,,
not,,,,,,
that,,,,,,
she,,,,,,
hadn't,,,,,,
tried.,,,,,,
At,,,,,,
breakfast,,,1,,,
on,,,,,,
Thursday,,,,,,
she,,,,,,
bored,1,,,,,
them,,,,,,
all,,,,,,
stupid,,,,,,
with,,,,,,
flying,,,,,,
tips,,,,,,
she'd,,,,,,
gotten,,,,,,
out,,,,,,
of,,,,,,
a,,,,,,
library,,,1,,,
book,,,1,,,
called,,,,,,
Quidditch,,,,,,
Through,,,,,,
the,,,,,,
Ages.,,,,,,
Neville,,,1,,,
was,,,,,,
hanging,,1,,,,
on,,,,,,
to,,,,,,
her,,,,,,
every,,,,,,
"word,",,,,,,
desperate,1,,,,,
for,,,,,,
anything,,,,,,
that,,,,,,
might,,,,,,
help,,,,,,
him,,,,,,
hang,,,,,,
on,,,,,,
to,,,,,,
his,,,,,,
broomstick,,,1,,,
"later,",,,,,,
but,,,,,,
everybody,,,,,,
else,,,,,,
was,,,,,,
very,,,,,,
pleased,1,,,,,
when,,,,,,
Hermione's,,,1,,,
lecture,,,,,,
was,,,,,,
interrupted,,,,,,
by,,,,,,
the,,,,,,
arrival,,,,,,
of,,,,,,
the,,,,,,
mail.,,,1,,,
,,,,,,
Harry,,,1,,,
hadn't,,,,,,
had,,,,,,
a,,,,,,
single,,,,,,
letter,,,,,,
since,,,,,,
Hagrid's,,,1,,,
"note,",,,,,,
something,,,,,,
that,,,,,,
Malfoy,,,1,,,
had,,,,,,
been,,,,,,
quick,,,,,,
to,,,,,,
"notice,",,,,,,
of,,,,,,
course.,,,,,,
Malfoy's,,,1,,,
eagle,,,1,,,
owl,,,1,,,
was,,,,,,
always,,,,,,
bringing,,,,,,
him,,,,,,
packages,,,1,,,
of,,,1,,,
sweets,,,1,,,
from,,,,,,
"home,",,,,,,
which,,,,,,
he,,,,,,
opened,,,,,,
gloatingly,1,,,,,
at,,,,,,
the,,,,,,
Slytherin,,,,,,
table.,,,1,,,
,,,,,,
A,,,,,,
barn,,,,,,
owl,,,1,,,
brought,,,,,,
Neville,,,1,,,
a,,,,,,
small,,,,,,
package,,,1,,,
from,,,,,,
his,,,,,,
grandmother.,,,,,,
He,,,,,,
opened,,,,,,
it,,,,,,
excitedly,1,,,,,
and,,,,,,
showed,,,,,,
them,,,,,,
a,,,,,,
glass,,,1,,,
ball,,,1,,,
the,,,,,,
size,,,,,,
of,,,,,,
a,,,,,,
large,,,,,,
"marble,",,,1,,,
which,,,,,,
seemed,,,,,,
to,,,,,,
be,,,,,,
full,,,,,,
of,,,,,,
white,,,,,,
smoke.,,,1,,,
,,,,,,
"""It's",,,,,,
a,,,,,,
"Remembrall!""",,,1,,,
he,,,,,,
explained.,,,,,,
"""Gran",,,,,,
